Time,Type,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
0,CombatZoneResize,121,186,526,391,TLResume,,,,
0,HeartTeleport,320,304,,,,,,,,
0,HeartMode,0,,,,,,,,
0.5,GasterBlaster,0,320,-50,320,186,90,0.3,0.03,0,
0,GasterBlaster,0,320,650,320,391,270,0.3,0.03,0,
0.2,GasterBlaster,0,50,304,121,304,0,0.3,0.03,0,
0,GasterBlaster,0,590,304,526,304,180,0.3,0.03,0,
0.3,GasterBlaster,1,50,50,150,150,45,0.4,0.04,1,
0,GasterBlaster,1,590,50,490,150,135,0.4,0.04,2,
0.3,GasterBlaster,1,50,440,150,341,-45,0.4,0.04,1,
0,GasterBlaster,1,590,440,490,341,-135,0.4,0.04,2,
0.4,GasterBlaster,0,121,50,121,391,90,0.2,0.02,0,
0.1,GasterBlaster,0,222,50,222,391,90,0.2,0.02,0,
0.1,GasterBlaster,0,323,50,323,391,90,0.2,0.02,0,
0.1,GasterBlaster,0,424,50,424,391,90,0.2,0.02,0,
0.1,GasterBlaster,0,525,50,525,391,90,0.2,0.02,0,
0.4,GasterBlaster,1,320,304,320,304,0,0.4,0.04,0,
0,GasterBlaster,1,320,304,320,304,60,0.4,0.04,0,
0,GasterBlaster,1,320,304,320,304,120,0.4,0.04,0,
0,GasterBlaster,1,320,304,320,304,180,0.4,0.04,0,
0,GasterBlaster,1,320,304,320,304,240,0.4,0.04,0,
0,GasterBlaster,1,320,304,320,304,300,0.4,0.04,0,
0.5,GasterBlaster,0,50,186,590,186,0,0.5,0.05,1,
0.1,GasterBlaster,0,590,286,50,286,180,0.5,0.05,2,
0.1,GasterBlaster,0,50,386,590,386,0,0.5,0.05,1,
0.5,GasterBlaster,2,50,50,590,440,45,0.8,0.08,0,
0.5,GasterBlaster,2,590,50,50,440,135,0.8,0.08,0,
0.4,GasterBlaster,0,222,-50,222,304,90,0.3,0.03,0,
0,GasterBlaster,0,424,-50,424,304,90,0.3,0.03,0,
0.3,GasterBlaster,1,320,304,320,304,45,0.3,0.03,1,
0,GasterBlaster,1,320,304,320,304,135,0.3,0.03,2,
0,GasterBlaster,1,320,304,320,304,225,0.3,0.03,1,
0,GasterBlaster,1,320,304,320,304,315,0.3,0.03,2,
0.4,GasterBlaster,0,121,-50,526,650,45,0.6,0.06,0,
0.2,GasterBlaster,0,526,-50,121,650,135,0.6,0.06,0,
0.3,GasterBlaster,0,50,186,150,186,0,0.3,0.03,0,
0,GasterBlaster,0,50,391,150,391,0,0.3,0.03,0,
0,GasterBlaster,0,590,186,490,186,180,0.3,0.03,0,
0,GasterBlaster,0,590,391,490,391,180,0.3,0.03,0,
0.4,GasterBlaster,1,320,-100,320,100,90,0.4,0.04,1,
0,GasterBlaster,1,320,700,320,500,270,0.4,0.04,2,
0.1,GasterBlaster,1,-100,304,100,304,0,0.4,0.04,1,
0,GasterBlaster,1,700,304,500,304,180,0.4,0.04,2,
0.4,GasterBlaster,0,100,50,200,100,0,0.3,0.03,0,
0,GasterBlaster,0,100,150,200,150,0,0.3,0.03,0,
0,GasterBlaster,0,100,250,200,250,0,0.3,0.03,0,
0,GasterBlaster,0,100,350,200,350,0,0.3,0.03,0,
0.4,GasterBlaster,2,320,304,320,304,0,0.1,0.01,0,
0,GasterBlaster,2,320,304,320,304,90,0.1,0.01,0,
0,GasterBlaster,2,320,304,320,304,180,0.1,0.01,0,
0,GasterBlaster,2,320,304,320,304,270,0.1,0.01,0,
0.3,GasterBlaster,0,150,-50,150,500,90,0.4,0.04,1,
0,GasterBlaster,0,490,-50,490,500,90,0.4,0.04,2,
0.3,GasterBlaster,1,320,304,320,304,30,0.4,0.04,0,
0,GasterBlaster,1,320,304,320,304,150,0.4,0.04,0,
0,GasterBlaster,1,320,304,320,304,270,0.4,0.04,0,
0.3,GasterBlaster,0,50,50,590,50,0,0.5,0.05,0,
0,GasterBlaster,0,50,440,590,440,0,0.5,0.05,0,
0.3,GasterBlaster,1,121,304,320,304,0,0.4,0.04,1,
0,GasterBlaster,1,526,304,320,304,180,0.4,0.04,2,
0.3,GasterBlaster,0,320,50,320,304,90,0.4,0.04,0,
0.1,GasterBlaster,0,320,550,320,304,270,0.4,0.04,0,
0.3,GasterBlaster,1,50,50,200,200,45,0.3,0.03,1,
0.1,GasterBlaster,1,590,50,440,200,135,0.3,0.03,2,
0.1,GasterBlaster,1,590,440,440,304,225,0.3,0.03,1,
0.1,GasterBlaster,1,50,440,200,304,315,0.3,0.03,2,
0.4,GasterBlaster,2,320,304,320,304,0,0.2,0.02,0,
0,GasterBlaster,2,320,304,320,304,45,0.2,0.02,0,
0,GasterBlaster,2,320,304,320,304,90,0.2,0.02,0,
0,GasterBlaster,2,320,304,320,304,135,0.2,0.02,0,
0,GasterBlaster,2,320,304,320,304,180,0.2,0.02,0,
0,GasterBlaster,2,320,304,320,304,225,0.2,0.02,0,
0,GasterBlaster,2,320,304,320,304,270,0.2,0.02,0,
0,GasterBlaster,2,320,304,320,304,315,0.2,0.02,0,
0.5,GasterBlaster,1,320,-50,320,650,90,0.9,0.09,0,
0,GasterBlaster,1,-50,304,690,304,0,0.9,0.09,0,
2,EndAttack,,,,,,,,
