Time,Type,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
0,CombatZoneResizeInstant,200,200,440,400,,,,,,
0,HeartTeleport,320,300,,,,,,,,
0,HeartMode,0,,,,,,,,
0,SansHead,BlueEye,,,,,,,,
0,SansText,Pattern Recognition: Active.,,,,,,,,
0,PlaySound,ping,,,,,,,,
0.5,GasterBlaster,0,320,50,320,200,90,0.1,0.01,0,
0.2,GasterBlaster,0,490,200,440,200,180,0.1,0.01,0,
0.2,GasterBlaster,0,490,300,440,300,180,0.1,0.01,0,
0.2,GasterBlaster,0,490,400,440,400,180,0.1,0.01,0,
0.2,GasterBlaster,0,320,550,320,400,270,0.1,0.01,0,
0.2,GasterBlaster,0,150,400,200,400,0,0.1,0.01,0,
0.2,GasterBlaster,0,150,300,200,300,0,0.1,0.01,0,
0.2,GasterBlaster,0,150,200,200,200,0,0.1,0.01,0,
0.4,GasterBlaster,1,100,100,320,300,45,0.1,0.01,1,
0.1,GasterBlaster,2,540,100,320,300,135,0.1,0.01,2,
0.1,GasterBlaster,1,540,500,320,300,225,0.1,0.01,1,
0.1,GasterBlaster,2,100,500,320,300,315,0.1,0.01,2,
0.5,SansSlam,3,,,,,,,,
0,ScreenShake,25,0.3,,,,,,,,
0.2,GasterBlaster,0,250,-50,250,200,90,0.1,0.01,0,
0.1,GasterBlaster,0,390,-50,390,200,90,0.1,0.01,0,
0.2,GasterBlaster,0,600,250,440,250,180,0.1,0.01,0,
0.1,GasterBlaster,0,600,350,440,350,180,0.1,0.01,0,
0.2,GasterBlaster,0,390,550,390,400,270,0.1,0.01,0,
0.1,GasterBlaster,0,250,550,250,400,270,0.1,0.01,0,
0.2,GasterBlaster,0,100,350,200,350,0,0.1,0.01,0,
0.1,GasterBlaster,0,100,250,200,250,0,0.1,0.01,0,
1.0,SansText,End of Line.,,,,,,,,
0,BoneSine,0,200,300,440,300,40,2,0,0,10
0.5,GasterBlaster,0,320,300,320,300,0,0.5,0.05,0,
0,GasterBlaster,0,320,300,320,300,90,0.5,0.05,0,
0,GasterBlaster,0,320,300,320,300,180,0.5,0.05,0,
0,GasterBlaster,0,320,300,320,300,270,0.5,0.05,0,
1.0,SansAnimation,Tired,,,,,,,,
1.0,EndAttack,,,,,,,,
